ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0000919574-23-006364	30-SEP-2023	N							Two Sigma Equity Risk Premia Portfolio, LLC	Two Sigma Advisers, LP	100 Avenue of the Americas, 16th Floor	New York	NY	10013	13F NOTICE	028-17346			N	
0000905148-23-001413	30-SEP-2023	N							Lodbrok Capital LLP	55 ST JAMESS STREET		LONDON	X0	SW1A 1LA	13F HOLDINGS REPORT	028-19542	000286525	802-110389	Y	The Reporting Person is reporting its position in the Oatly Group AB 9.25% Convertible Senior PIK Notes due 2028 with CUSIP 67421JAA6, which is the CUSIP reflected in Bloomberg and the Reporting Person's records, but is different from the CUSIP for such Notes identified in the SEC's Official List of Section 13(f) Securities for Q3 2023.
0001466697-23-000015	30-SEP-2023								FLOW TRADERS U.S. LLC	1114 AVENUE OF THE AMERICAS	4TH FLOOR	NEW YORK	NY	10036	13F HOLDINGS REPORT	028-14610	000150780	8-68300	N	
0001420506-23-002181	30-SEP-2023	N							Gobi Capital LLC	909 Montgomery Street, Suite 400		San Francisco	CA	94133	13F HOLDINGS REPORT	028-17895			N	
0001398344-23-020681	30-SEP-2023	N							BERKSHIRE ASSET MANAGEMENT LLC/PA	46 PUBLIC SQUARE		WILKES BARRE	PA	18701	13F HOLDINGS REPORT	028-05034	000145463	801-68485	N	
0001104659-23-117945	30-SEP-2023	N							SUN LIFE CAPITAL MANAGEMENT (U.S.) LLC	96 Worcester Street		Wellesley Hills	MA	02481-5699	13F NOTICE	028-12046			N	
0000919574-23-006363	30-SEP-2023	N							Samlyn Net Neutral Master Fund, Ltd.	Intertrust Corporate Svcs (Cayman) Ltd	One Nexus Way	Camana Bay, Grand Cayman	E9	KY1-9005	13F NOTICE	028-20094			N	
0001104659-23-117944	30-SEP-2023	N							SUN LIFE FINANCIAL INC	Sun Life Assurance CO of Canada	One York Street	Toronto	A6	M5J 0B6	13F COMBINATION REPORT	028-05799			N	
0001398344-23-020679	30-SEP-2023	N							Family Management Corp	155 E. 44TH STREET	21ST FLOOR	NEW YORK	NY	10017	13F HOLDINGS REPORT	028-14892	000104951	801-35943	N	
0001104659-23-117943	30-SEP-2023	N							Sun Life Assurance Co of Canada	One York Street		Toronto	A6	M5J 0B6	13F NOTICE	028-12047			N	
0001512901-23-000004	30-SEP-2023								NBW CAPITAL LLC	211 CONGRESS STREET SUITE 901		BOSTON	MA	02110	13F HOLDINGS REPORT	028-14328			N	
0000919574-23-006362	30-SEP-2023	N							Two Sigma Active Extension U.S. Small Cap Equity Fund, LP	100 AVENUE OF THE AMERICAS	16TH FLOOR	New York	NY	10013	13F NOTICE	028-15364			N	
0000919574-23-006361	30-SEP-2023	N							Samlyn Partners, LLC	500 Park Avenue	2nd Floor	New York	NY	10022	13F NOTICE	028-13210			N	
0000905148-23-001412	30-SEP-2023	N							DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main	PLATZ DER REPUBLIK		FRANKFURT AM MAIN	2M	60265	13F HOLDINGS REPORT	028-17954			N	
0000009634-23-000008	30-SEP-2023								BOKF, NA	PO BOX 2300		TULSA	OK	74172	13F HOLDINGS REPORT	028-00305			N	
0001372312-23-000006	30-SEP-2023								United Capital Financial Partners, Inc	4000 MACARTHUR BLVD	SUITE 1000	Newport Beach	CA	92660	13F NOTICE	028-13541			N	
0001892134-23-000001	30-SEP-2023								Frazier Life Sciences Management, L.P.	70 WILLOW ROAD, SUITE 200		MENLO PARK	CA	94025	13F HOLDINGS REPORT	028-22504			N	
0000905148-23-001411	30-SEP-2023	N							Union Investment Privatfonds GmbH	WEISSFRAUENSTRASSE 7		FRANKFURT A. M.	2M	60311	13F NOTICE	028-17961			N	
0000950123-23-010666	30-SEP-2023	N							Mill Road Capital Management LLC	328 Pemberwick Road		Greenwich	CT	06831	13F HOLDINGS REPORT	028-14342			N	
0000905148-23-001410	30-SEP-2023	N							Union Investment Institutional GmbH	WEISSFRAUENSTRASSE 7		FRANKFURT A. M.	2M	60311	13F NOTICE	028-17959			N	
0000919574-23-006358	30-SEP-2023	N							SAMLYN ONSHORE FUND, LP	Samlyn Capital, LLC	500 Park Avenue, 2nd Floor	New York	NY	10022	13F NOTICE	028-12828			N	
0001772937-23-000008	30-SEP-2023								Tolleson Wealth Management, Inc.	5500 PRESTON ROAD	SUITE 250	DALLAS	TX	75205	13F HOLDINGS REPORT	028-19460			N	
0000919574-23-006357	30-SEP-2023	N							TWO SIGMA ACTIVE EXTENSION U.S. ALL CAP EQUITY PORTFOLIO, LLC	C/O TWO SIGMA ADVISERS, LP	100 AVENUE OF THE AMERICAS, 16TH FLOOR	NEW YORK	NY	10013	13F NOTICE	028-15404			N	
0000905148-23-001409	30-SEP-2023	N							UNION ASSET MANAGEMENT HOLDING AG	WEISSFRAUENSTRASSE 7		FRANKFURT	2M	60311	13F NOTICE	028-17957			N	
0000919574-23-006356	30-SEP-2023	N							Samlyn Offshore Master Fund, Ltd.	Intertrust Corporate Svcs (Cayman) Ltd	One Nexus Way	Camana Bay, Grand Cayman	E9	KY1-9005	13F NOTICE	028-13310			N	
0000905148-23-001408	30-SEP-2023	N							Quoniam Asset Management GmbH	WESTHAFEN TOWER	WESTHAFENPLATZ 1	FRANKFURT/MAIN	2M	60327	13F NOTICE	028-17963			N	
0001662906-23-000006	30-SEP-2023								Atalan Capital Partners, LP	140 E. 45TH STREET, 17TH FLOOR		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-17286			N	
0000950123-23-010663	30-SEP-2023	N							Dodge & Cox	555 California Street	40th Floor	San Francisco	CA	94104	13F HOLDINGS REPORT	028-00400	000104596	801-1895	N	
0000905148-23-001407	30-SEP-2023	N							IPConcept (Luxemburg) S.A.	4, RUE THOMAS EDISON		LUXEMBOURG	N4	1445	13F NOTICE	028-17956			N	
0000919574-23-006355	30-SEP-2023	N							TWO SIGMA ABSOLUTE RETURN PORTFOLIO, LLC	C/O TWO SIGMA ADVISERS, LP	100 AVENUE OF THE AMERICAS, 16TH FLOOR	NEW YORK	NY	10013	13F NOTICE	028-15367			N	
0001764387-23-000005	30-SEP-2023								Apollon Wealth Management, LLC	835 COLEMAN BLVD	SUITE 102	MOUNT PLEASANT	SC	29464	13F HOLDINGS REPORT	028-19147	000291902	801-112350	N	
0000950123-23-010661	30-SEP-2023	N							Mill Road Capital III GP LLC	c/o Mill Road Capital Management LLC	328 Pemberwick Road	Greenwich	CT	06831	13F NOTICE	028-20932			N	
0001630243-23-000009	30-SEP-2023								Nitorum Capital, L.P.	450 PARK AVENUE	7TH FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-17281			N	
0000905148-23-001406	30-SEP-2023	N							DZ PRIVATBANK S.A.	4, RUE THOMAS EDISON		LUXEMBOURG	N4	1445	13F NOTICE	028-17955			N	
0001750312-23-000008	30-SEP-2023								Hidden Lake Asset Management LP	152 W 57TH STREET, SUITE 920		NEW YORK	NY	10019	13F HOLDINGS REPORT	028-20103	000298209	801-115096	N	
0001398344-23-020675	30-SEP-2023	N							CAROLINAS WEALTH CONSULTING LLC	5605 CARNEGIE BLVD	SUITE 400	CHARLOTTE	NC	28209	13F HOLDINGS REPORT	028-20139	000300003	801-60158	N	
0000905148-23-001405	30-SEP-2023	N							BEA Union Investment Management Ltd.	5/F THE BANK OF EAST ASIA BUILDING	10 DES VOEUX ROAD CENTRAL	HONG KONG	K3	00000	13F NOTICE	028-17962			N	
0000919574-23-006354	30-SEP-2023	N							TIGER MANAGEMENT L.L.C.	101 PARK AVENUE		NEW YORK	NY	10178	13F HOLDINGS REPORT	028-05892			N	
0001846462-23-000005	30-SEP-2023								Wealth Dimensions Group, Ltd.	7870 E. KEMPER ROAD	SUITE 330	CINCINNATI	OH	45249	13F HOLDINGS REPORT	028-21037			N	
0000919574-23-006353	30-SEP-2023	N							SAMLYN CAPITAL, LLC	500 Park Avenue	2nd Floor	New York	NY	10022	13F HOLDINGS REPORT	028-12823	000158296	801-74035	N	
0001846352-23-000008	30-SEP-2023								Nixon Capital, LLC	1701 NUECES ST	UNIT C	AUSTIN	TX	78701	13F HOLDINGS REPORT	028-20945	000148061	801-121856	N	
0001104659-23-117933	30-SEP-2023	N							ARGA Investment Management, LP	1010 Washington Blvd, 6th Fl		Stamford	CT	06901	13F HOLDINGS REPORT	028-15430	000153665	028-15430	N	
0001813784-23-000005	30-SEP-2023								H/2 CREDIT MANAGER LP	680 WASHINGTON BOULEVARD	SEVENTH FLOOR	STAMFORD	CT	06901	13F HOLDINGS REPORT	028-20868	000133693		N	
0001768757-23-000009	30-SEP-2023								Ararat Capital Management LP	2 RAILROAD PLACE		WESTPORT	CT	06880	13F HOLDINGS REPORT	028-20904	000291783	801-118572	N	
0000935836-23-000701	30-SEP-2023	N							LIGHT STREET CAPITAL MANAGEMENT, LLC	505 Hamilton Avenue	Suite 110	Palo Alto	CA	94301	13F HOLDINGS REPORT	028-15239	000155215	801-77663	N	
0000950159-23-000295	30-SEP-2023	N							ATMOS CAPITAL GESTAO DE RECURSOS LTDA.	Av. Borges De Medeiros 633	Sala 602	Leblon - Rio de Janeiro	D5	22430-041	13F HOLDINGS REPORT	028-20396			N	
0001214659-23-014968	30-SEP-2023	N							Hudson Canyon Capital Management	10 EAST 39TH STREET, SUITE 908		NEW YORK	NY	10016	13F HOLDINGS REPORT	028-23320			N	
0001535588-23-000006	30-SEP-2023								Twin Tree Management, LP	6688 N. CENTRAL EXPRESSWAY	SUITE 1610	DALLAS	TX	75206	13F HOLDINGS REPORT	028-15586	000149548	801-73138	N	
0001085146-23-004393	30-SEP-2023	N							Orbis Allan Gray Ltd	ORBIS HOUSE	25 FRONT STREET	HamiltoN	D0	HM 11	13F HOLDINGS REPORT	028-17459			Y	Pursuant to power of attorney incorporated herein by reference to the registrant's Form 13F filed with the Commission on November 14, 2019.
0000950159-23-000293	30-SEP-2023	N							Shay Capital LLC	280 Park Avenue, 5th Floor West		New York	NY	10017	13F HOLDINGS REPORT	028-21329			N	
0001172661-23-003967	30-SEP-2023	N							Slate Path Capital LP	717 5th Avenue	16th Fl.	New York	NY	10022	13F HOLDINGS REPORT	028-15300	000164751	801-77052	N	
0001566887-23-000008	30-SEP-2023								Ratan Capital Management LP	3400 SOUTHWEST AVE	SUITE 1206	MIAMI BEACH	FL	33133	13F HOLDINGS REPORT	028-15281			N	
0001750183-23-000009	30-SEP-2023								Antara Capital LP	55 HUDSON YARDS	47TH FLOOR	NEW YORK	NY	10001	13F HOLDINGS REPORT	028-19352	000298247	801-113926	N	
0001937964-23-000006	30-SEP-2023								Artia Global Partners LP	1395 BRICKELL AVENUE	STE 800	MIAMI	FL	33131	13F HOLDINGS REPORT	028-23071	000322091	801-125942	N	
0001389932-23-000008	30-SEP-2023								Fischel Nathan	10990 WILSHIRE BOULEVARD	SUITE 1400	LOS ANGELES	CA	90024	13F NOTICE	028-12328	004732394		N	
0001135428-23-000285	30-SEP-2023	N							Gerber Kawasaki Wealth & Investment Management	2716 Ocean Park Blvd	#2020-2022	Santa Monica	CA	90405	13F HOLDINGS REPORT	028-17184	000153649	801-79339	N	
0001681614-23-000004	30-SEP-2023								Kanen Wealth Management LLC	5850 CORAL RIDGE DRIVE	SUITE 309	CORAL SPRINGS	FL	33076	13F HOLDINGS REPORT	028-21358			N	
0001944662-23-000048	30-SEP-2023								Sea Otter Advisors LLC	107 GRAND STREET	7TH FL	NEW YORK	NY	10013	13F HOLDINGS REPORT	028-22697	000321079	801-126505	N	
0001825309-23-000009	30-SEP-2023								Webs Creek Capital Management LP	3131 TURTLE CREEK BLVD.	SUITE 880	DALLAS	TX	75219	13F HOLDINGS REPORT	028-23001	000301259	801-123681	N	
0001047859-23-000005	30-SEP-2023								PARAGON ASSOCIATES & PARAGON ASSOCIATES II JOINT VENTURE	500 CRESCENT COURT	SUITE 260	DALLAS	TX	75201	13F HOLDINGS REPORT	028-15995			N	
0001172661-23-003966	30-SEP-2023	N							FSB PREMIER WEALTH MANAGEMENT, INC.	131 Tower Park Drive Suite 115	Suite 615	Waterloo	IA	50701	13F HOLDINGS REPORT	028-21576	000015898	801-111084	N	
0001493152-23-040906	30-SEP-2023	N							DIFESA CAPITAL MANAGEMENT, LP	40 West 57th Street	Suite# 2020	New York	NY	10019	13F HOLDINGS REPORT	028-21710	000302029	801-116716	N	
0001420506-23-002178	30-SEP-2023	N							ADW Capital Management, LLC	6431 Allison Road		Miami Beach	FL	33141	13F HOLDINGS REPORT	028-19312			N	
0001135428-23-000283	30-SEP-2023	N							Mill Creek Capital Advisors, LLC	161 Washington Street		Conshohocken	PA	19428	13F HOLDINGS REPORT	028-23091			N	
0001682021-23-000029	30-SEP-2023	N							Vivaldi Capital Management LP	225 W. Wacker Drive - Suite 2100		Chicago	IL	60606	13F HOLDINGS REPORT	028-18047			N	
0001172661-23-003965	30-SEP-2023	N							Lakeshore Financial Planning, Inc.	23201 Jefferson		St. Clair Shores	MI	48080	13F HOLDINGS REPORT	028-23446	000299129	801-114302	N	
0001941040-23-000347	30-SEP-2023	N							Perennial Investment Advisors, LLC	11620 Wilshire Boulevard	Suite 400	Los Angeles	CA	90025	13F HOLDINGS REPORT	028-19784	000286477	801-110619	N	
0000938206-23-000030	30-SEP-2023	N							Driehaus Capital Management LLC	25 East Erie St		Chicago	IL	60611	13F HOLDINGS REPORT	028-04207		801-18439	N	
0000919574-23-006351	30-SEP-2023	N							TWO SIGMA ADVISERS, LP	100 Avenue of the Americas	16th Floor	New York	NY	10013	13F HOLDINGS REPORT	028-14367	000152254	801-71110	Y	"This Form 13F holdings report is being filed on behalf of Two Sigma Advisers, LP (""Advisers""). Advisers serves as the sole manager or investment manager, as applicable, of (i) Two Sigma Absolute Return Portfolio, LLC (""Absolute Return""), Two Sigma Active Extension U.S. All Cap Equity Portfolio, LLC (""Active Extension All Cap""), Two Sigma Active Extension U.S. Small Cap Equity Fund, LP (""Active Extension Small Cap""), Two Sigma Macro Portfolio, LLC (""Macro""), Two Sigma World Core Fund, LP (""World Core"") and Two Sigma Equity Risk Premia Portfolio, LLC (""Equity Risk Premia""), six investment entities that are managed by Advisers, each of which may be deemed to be an ""other manager"" for purposes of this Form 13F report, (ii) Two Sigma International Core Portfolio, LLC (""International Core""), an investment entity that is managed by Advisers and that may not presently be deemed to be an ""other manager"" for purposes of this Form 13F report and (iii) one or more separately managed accounts and subadvised accounts (collectively, the ""Managed Accounts""), each of which may not presently be deemed to be an ""other manager"" for purposes of this 13F report. Advisers, rather than Absolute Return, Active Extension All Cap, Active Extension Small Cap, Macro, World Core, Equity Risk Premia, International Core or the Managed Accounts, exercises sole investment discretion and voting authority over the securities held in the various accounts of Absolute Return, Active Extension All Cap, Active Extension Small Cap, Macro, World Core, Equity Risk Premia, International Core and in the Managed Accounts."
0001283072-23-000004	30-SEP-2023	N							GUGGENHEIM CAPITAL LLC	227 West Monroe	Suite 4900	Chicago	IL	60606	13F HOLDINGS REPORT	028-12836			N	
0001140361-23-053158	30-SEP-2023	N							Mount Lucas Management LP	405 South State Street		Newtown	PA	18940	13F HOLDINGS REPORT	028-11021			N	
0001420506-23-002177	30-SEP-2023	N							SoftVest Advisors, LLC	400 PINE STREET	SUITE 1010	ABILENE	TX	79601	13F HOLDINGS REPORT	028-20012			N	
0001172661-23-003964	30-SEP-2023	N							Woodline Partners LP	4 Embarcadero Center	Suite 3450	San Francisco	CA	94111	13F HOLDINGS REPORT	028-20047	000301480	801-116904	N	
0001425852-23-000004	30-SEP-2023	N							Guggenheim Partners Investment Management, LLC	100 Wilshire Boulevard, 5th Floor		Santa Monica	CA	90401	13F NOTICE	028-12837	000137432	801-66786	N	
0000950123-23-010647	30-SEP-2023	N							MACQUARIE BANK LTD	LEVEL 6, 50 MARTIN PLACE		SYDNEY, NEW SOUTH WALES	C3	2000	13F NOTICE	028-13122			N	
0000902664-23-005500	30-SEP-2023	N							TOMS Capital Investment Management LP	450 West 14th Street, 13th Floor		New York	NY	10014	13F HOLDINGS REPORT	028-19240	000291362	801-112614	N	
0001808275-23-000013	30-SEP-2023								Sahana Capital Management LP	5 GREENWICH OFFICE PARK	3RD FLOOR	GREENWICH	CT	06831	13F HOLDINGS REPORT	028-20280			N	
0001945037-23-000005	30-SEP-2023								Coston, McIsaac & Partners	38 RODICK STREET		BAR HARBOR	ME	04609	13F HOLDINGS REPORT	028-22656			N	
0000919574-23-006350	30-SEP-2023	N							HENGISTBURY MASTER FUND LTD	c/o Hengistbury Investment Partners LLP	34 Brook Street	London	X0	W1K 5DN	13F NOTICE	028-15965			N	
0000920441-23-000004	30-SEP-2023								KELLY LAWRENCE W & ASSOCIATES INC/CA	KELLY LAWARENCE W & ASSOCIATES INC	199 SOUTH LOS ROBLES AVE., STE. 850	PASADENA	CA	91101	13F HOLDINGS REPORT	028-04133			N	
0001985414-23-000002	30-SEP-2023								Cherry Tree Wealth Management, LLC	301 CARLSON PARKWAY	SUITE 103	MINNETONKA	MN	55305	13F HOLDINGS REPORT	028-23331	000151406	801-70554	N	
0001725547-23-002027	30-SEP-2023	N							SURIENCE PRIVATE WEALTH LLC	402 E YAKIMA AVE	SUITE 120	YAKIMA	WA	98901	13F HOLDINGS REPORT	028-21483	000313055	801-120656	N	
0001172661-23-003963	30-SEP-2023	N							Simplify Asset Management Inc.	222 Broadway, 22/F		New York	NY	10038	13F HOLDINGS REPORT	028-20937	000309535	801-119255	N	
0000919574-23-006349	30-SEP-2023	N							TWO SIGMA SECURITIES, LLC	100 Avenue of the Americas	2nd Floor	New York	NY	10013	13F HOLDINGS REPORT	028-16740	000148960	8-68090	N	
0001085146-23-004392	30-SEP-2023	N							ORBIS INVESTMENT MANAGEMENT LTD	ORBIS HOUSE	25 FRONT STREET	HAMILTON	D0	HM11	13F NOTICE	028-04613			Y	Pursuant to power of attorney incorporated herein by reference to the registrant's Schedule 13G filed with the Commission on June 10, 2019.
0001062993-23-020758	30-SEP-2023	N							All Terrain Financial Advisors, LLC	551 COON RAPIDS BLVD NW		COON RAPIDS	MN	55433	13F HOLDINGS REPORT	028-18618	000286683	801-109958	N	
0001085146-23-004391	30-SEP-2023	N							Orbis Investment Management (U.S.), L.P.	600 MONTGOMERY STREET	SUITE 3800	SAN FRANCISCO	CA	94111	13F NOTICE	028-15939			N	
0000919574-23-006348	30-SEP-2023	N							Hengistbury Investment Partners LLP	34 Brook Street		London	X0	W1K 5DN	13F HOLDINGS REPORT	028-15959	000164430	802-77414	N	
0001085146-23-004390	30-SEP-2023	N							TIEDEMANN ADVISORS, LLC	520 MADISON AVENUE	26TH FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-13688	000147189	801-69865	N	
0000919574-23-006347	30-SEP-2023	N							SR GLOBAL FUND L P	Windward 1, Regatta Office Park	P O Box 897 George Town	Grand Cayman	E9	KY1-1103	13F NOTICE	028-21899			N	
0001085146-23-004388	30-SEP-2023	N							Vazirani Asset Management LLC	90 PARK AVENUE	5TH FLOOR	NEW YORK	NY	10016	13F HOLDINGS REPORT	028-21589			N	
0001062993-23-020757	30-SEP-2023	N							Coppell Advisory Solutions LLC	9111 CYPRESS WATERS BLVD	SUITE 140	COPPELL	TX	75019	13F HOLDINGS REPORT	028-21108			N	
0001315863-23-000886	30-SEP-2023								ARMISTICE CAPITAL, LLC	510 MADISON AVENUE, 7TH FLOOR		NEW YORK	NY	10022	13F HOLDINGS REPORT	028-16738			N	
0001655183-23-000013	30-SEP-2023	N							Mudrick Capital Management, L.P.	527 MADISON AVENUE, 6TH FLOOR		NEW YORK	NY	10022	13F HOLDINGS REPORT	028-18566	000161012	801-73797	N	
0001725547-23-002026	30-SEP-2023	Y	1	RESTATEMENT					GFG Capital, LLC	701 BRICKELL AVENUE, SUITE 1400		MIAMI	FL	33131	13F HOLDINGS REPORT	028-19809	000128059	801-62274	N	
0000891287-23-000005	30-SEP-2023								DAVIS R M INC	24 CITY CENTER		PORTLAND	ME	04101	13F HOLDINGS REPORT	028-03298			N	
0001012975-23-000460	30-SEP-2023								NEA Management Company, LLC	1954 GREENSPRING DRIVE	SUITE 600	TIMONIUM	MD	21093	13F HOLDINGS REPORT	028-14302	000161004	801-127227	N	
0000919574-23-006346	30-SEP-2023	N							Eschler Asset Management LLP	83 Scholars Walk		Cambridge	X0	CB4 1DW	13F HOLDINGS REPORT	028-21897	000311807	801-120071	N	
0001104659-23-117928	30-SEP-2023	N							Portolan Capital Management, LLC	2 International Place, 26th Floor		Boston	MA	02110	13F HOLDINGS REPORT	028-11602			N	
0001062993-23-020754	30-SEP-2023	N							Georgetown University	37TH & O STREETS, N.W.	HEALY HALL 204	WASHINGTON	DC	20057	13F HOLDINGS REPORT	028-18395			N	
0001140361-23-053156	30-SEP-2023	N							P SCHOENFELD ASSET MANAGEMENT LP	1350 AVENUE OF THE AMERICAS	21ST FLOOR	NEW YORK	NY	10019	13F HOLDINGS REPORT	028-06394			N	
0000950123-23-010641	30-SEP-2023	N							Credit Agricole Indosuez Wealth (France)	17 rue du Docteur Lancereaux		Paris Cedex 08	I0	75382	13F NOTICE	028-17741			N	
0001930102-23-000007	30-SEP-2023								MFP INVESTORS LLC	909 THIRD AVE, 33RD FLOOR		NEW YORK	NY	10022	13F NOTICE	028-05359			N	
0001085146-23-004387	30-SEP-2023	N							Northern Financial Advisors Inc	74 E. LONG LAKE RD	STE 200	BLOOMFIELD HILLS	MI	48304	13F HOLDINGS REPORT	028-22770	000121088	801-119217	N	
0000919574-23-006345	30-SEP-2023	N							COWBIRD CAPITAL LP	One World Trade Center	84th Floor	New York	NY	10007	13F HOLDINGS REPORT	028-19016	000289770	801-112446	N	
0000950123-23-010640	30-SEP-2023	N							Sarofim Trust Co	Two Houston Center	Suite 2907	Houston	TX	77010	13F NOTICE	028-00960			N	
0001085146-23-004386	30-SEP-2023	N							Royal Harbor Partners, LLC	12000 AEROSPACE AVENUE	SUITE 420	HOUSTON	TX	77034	13F HOLDINGS REPORT	028-19761			N	
0001140361-23-053154	30-SEP-2023	N							Cipher Capital LP	400 MADISON AVENUE	SUITE 12A	NEW YORK	NY	10017	13F HOLDINGS REPORT	028-15310			N	
0001085146-23-004385	30-SEP-2023	N							STEVENS CAPITAL PARTNERS	15514 SPAULDING PLAZA	STE DO2	OMAHA	NE	68116	13F HOLDINGS REPORT	028-22881	000322064	801-122960	N	
0001420506-23-002175	30-SEP-2023	N							Forager Capital Management, LLC	2025 3rd Avenue North	Suite 350	BIRMINGHAM	AL	35203	13F HOLDINGS REPORT	028-21969			N	
0001085146-23-004384	30-SEP-2023	N							Banco BTG Pactual S.A.	PRAIA DE BOTAFOGO,501, 5TH FLOOR	TORRE CORCOVADO, BOTAFOGO	RIO DE JANEIRO	D5	24210-400	13F HOLDINGS REPORT	028-17443			N	
0001085146-23-004383	30-SEP-2023	N							Altman Advisors, Inc.	1233 S WACKER DR., SUITE 9750		CHICAGO	IL	60606	13F HOLDINGS REPORT	028-18637	000281778	801-108135	N	
0000950123-23-010637	30-SEP-2023	N							Sarofim International Management Co	Two Houston Center	Suite 2907	Houston	TX	77010	13F NOTICE	028-05074			N	
0001085146-23-004382	30-SEP-2023	N							Fortress Operating Entity I LP	1345 AVENUE OF THE AMERICAS		NEW YORK	NY	10105	13F NOTICE	028-12418			N	
0001085146-23-004381	30-SEP-2023	N							Fortress Investment Group LLC	1345 AVENUE OF THE AMERICAS	46TH FLOOR	NEW YORK	NY	10105	13F HOLDINGS REPORT	028-12421			Y	Softbank Group Corp. (SBG) and/or certain of its affiliates are institutional investment managers and affiliates of Fortress. SBG and/or certain of its affiliates file their own Form 13F with respect to themselves and such affiliates, as applicable.
0001085146-23-004380	30-SEP-2023	N							ROYAL LONDON ASSET MANAGEMENT LTD	80 FENCHURCH STREET	LONDON	UNITED KINGDOM	X0	EC3M 4BY	13F HOLDINGS REPORT	028-02709			N	
0001085146-23-004379	30-SEP-2023	N							Fortress Credit Opportunities III Advisors LLC	1345 AVENUE OF THE AMERICAS		NEW YORK	NY	10105	13F NOTICE	028-16785	000290817		N	
0001085146-23-004378	30-SEP-2023	N							Fortress Credit Opportunities Advisors LLC	1345 AVENUE OF THE AMERICAS		NEW YORK	NY	10105	13F NOTICE	028-16784	000290815		N	
0001803916-23-000010	30-SEP-2023								Aquatic Capital Management LLC	1 N. WACKER DR.	SUITE 850	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-22161			N	
0001085146-23-004377	30-SEP-2023	N							FIG LLC	1345 AVENUE OF THE AMERICAS	46 FLOOR	NEW YORK	NY	10105	13F NOTICE	028-10806	000129612	801-62982	N	
0001085146-23-004376	30-SEP-2023	N							FIG Corp.	1345 AVENUE OF THE AMERICAS		NEW YORK	NY	10105	13F NOTICE	028-12417			N	
0001085146-23-004375	30-SEP-2023	N							DRAWBRIDGE SPECIAL OPPORTUNITIES ADVISORS LLC	C/O FORTRESS INVESTMENT GROUP LLC	1345 AVENUE OF THE AMERICAS, 46TH FLOOR	NEW YORK	NY	10105	13F NOTICE	028-11237	000290786		N	
0001213900-23-086661	30-SEP-2023	N							Ulysses Management LLC	One Rockefeller Plaza	20th Floor	New York	NY	10020	13F HOLDINGS REPORT	028-14306			N	
0001765876-23-000004	30-SEP-2023								MMBG INVESTMENT ADVISORS CO.	1221 BRICKELL AVENUE, SUITE 1030		MIAMI	FL	33131	13F HOLDINGS REPORT	028-21976	000285263	801-108467	N	
0001172661-23-003962	30-SEP-2023	N							Standard Investments LLC	9 West 57th Street	47th Floor	New York	NY	10019	13F HOLDINGS REPORT	028-14692	000160843	801-73363	N	
0001841616-23-000004	30-SEP-2023								InterOcean Capital Group, LLC	150 4TH AVENUE NORTH, SUITE 1410		NASHVILLE	TN	37219	13F HOLDINGS REPORT	028-20907	000310369	801-119431	N	
0000902664-23-005499	30-SEP-2023	N							Cevian Capital II GP LTD	C/o Highvern Fund Administrators Limited	Whiteley Chambers, Don Street	St. Helier	Y9	JE2 4TR	13F HOLDINGS REPORT	028-17086			N	
0000902664-23-005498	30-SEP-2023	N							MANE GLOBAL CAPITAL MANAGEMENT LP	520 Madison Avenue	21st Floor	New York	NY	10022	13F HOLDINGS REPORT	028-21982	000311912	801-120340	N	
0001085146-23-004374	30-SEP-2023	N							KGH Ltd	CAVES POINT, 3C	WEST BAY STREET	NASSAU	C5	NA	13F HOLDINGS REPORT	028-14969	000161481	801-74523	N	
0001172661-23-003961	30-SEP-2023	N							Rock Springs Capital Management LP	650 South Exeter Street	Suite 1070	Baltimore	MD	21202	13F HOLDINGS REPORT	028-16048	000168648	801-78511	N	
0001104659-23-117924	30-SEP-2023	N							Chou Associates Management Inc.	110 Sheppard Avenue East	Suite 301, Box 18	Toronto	A6	M2N 6Y8	13F HOLDINGS REPORT	028-12878			N	
0001912008-23-000006	30-SEP-2023								Tao Pro LLC	1 LETTERMAN DRIVE	SUITE C4-420	SAN FRANCISCO	CA	94129	13F HOLDINGS REPORT	028-22281			N	
0001930102-23-000006	30-SEP-2023								Price Jennifer C.	C/O MFP INVESTORS LLC	909 THIRD AVENUE, 33RD FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-22628			N	
