ACCESSION_NUMBER,REPORTCALENDARORQUARTER,ISAMENDMENT,AMENDMENTNO,AMENDMENTTYPE,CONFDENIEDEXPIRED,DATEDENIEDEXPIRED,DATEREPORTED,REASONFORNONCONFIDENTIALITY,FILINGMANAGER_NAME,FILINGMANAGER_STREET1,FILINGMANAGER_STREET2,FILINGMANAGER_CITY,FILINGMANAGER_STATEORCOUNTRY,FILINGMANAGER_ZIPCODE,REPORTTYPE,FORM13FFILENUMBER,CRDNUMBER,SECFILENUMBER,PROVIDEINFOFORINSTRUCTION5,ADDITIONALINFORMATION,timestamp
0001085146-24-004001,30-JUN-2024,N,,,,,,,"TIEDEMANN ADVISORS, LLC",520 MADISON AVENUE,26TH FLOOR,NEW YORK,NY,10022,13F NOTICE,028-13688,147189.0,801-69865,N,,2023-10-01
0000921895-24-001822,30-JUN-2024,N,,,,,,,BIGLARI CAPITAL CORP.,"19100 Ridgewood Pkwy, Suite 1200",,San Antonio,TX,78259,13F HOLDINGS REPORT,028-15403,115197.0,801-78141,Y,"The Lion Fund, L.P. holds 122,157.7 shares of Biglari Holdings Inc. Class A Common Stock with sole voting authority of all 122,157.7 shares. Biglari Capital Corp. holds 25,663.1 shares of Biglari Holdings Inc. Class A Common Stock with sole voting authority of all 25,663.1 shares. The table does not have space to show fractional shares, therefore the fractional shares have been rounded down to the nearest whole number.",2023-10-01
0001595888-24-000047,30-JUN-2024,,,,,,,,"Jane Street Options, LLC",250 VESEY STREET,6TH FLOOR,NEW YORK,NY,10281,13F NOTICE,028-13276,,,N,,2023-10-01
0001104659-24-089665,30-JUN-2024,N,,,,,,,Nextech Invest Ltd.,Bahnhofstrasse 18,,Zurich,V8,CH-8001,13F HOLDINGS REPORT,028-22157,322629.0,802-126620,N,,2023-10-01
0001012975-24-000333,30-JUN-2024,,,,,,,,"Southpoint GP, LP",1114 AVENUE OF THE AMERICAS,22ND FLOOR,NEW YORK,NY,10036,13F NOTICE,028-13953,,,N,,2023-10-01
0001214659-24-014719,30-JUN-2024,N,,,,,,,"TONTINE CAPITAL ASSOCIATES, L.P.","1 Sound Shore Drive, Suite 304",,Greenwich,CT,06830,13F NOTICE,028-20769,,,N,,2023-10-01
0001214659-24-014717,30-JUN-2024,N,,,,,,,"Tontine Asset Management, LLC",1 Sound Shore Drive,Suite 304,Greenwich,CT,06830,13F NOTICE,028-14690,,,N,,2023-10-01
0001214659-24-014718,30-JUN-2024,N,,,,,,,"Tontine Associates, LLC","1 Sound Shore Drive, Suite 304",,Greenwich,CT,06830,13F NOTICE,028-19509,,,N,,2023-10-01
0001214659-24-014716,30-JUN-2024,N,,,,,,,GENDELL JEFFREY L,1 SOUND SHORE DRIVE,SUITE 304,GREENWICH,CT,06830-7251,13F COMBINATION REPORT,028-06950,,,N,,2023-10-01
0001085146-24-004000,30-JUN-2024,N,,,,,,,Man Group plc,"RIVERBANK HOUSE, 2 SWAN LANE",,LONDON,X0,EC4R 3AD,13F COMBINATION REPORT,028-18778,,,Y,"Man Group plc, which is the institutional investment manager filing this Form 13F, is the parent company which indirectly, through various intermediate entities, controls the Other Included Managers that exercise investment discretion over Section 13(f) securities.  Based on this corporate structure, Man Group plc is deemed to have shared investment discretion over the Section 13(f) positions of each of the Other Included Managers.",2023-10-01
0001532155-24-000119,30-JUN-2024,,,,,,,,STEWART W P & CO LTD,1345 AVE OF THE AMERICAS,,NEW YORK,NY,10105,13F NOTICE,028-01432,,,Y,"All media outlets, please contact Jennifer Casey at AllianceBernstein (212-969-1157) with any questions. All other questions can be directed to Section13USFilings@alliancebernstein.com.",2023-10-01
0001862443-24-000006,30-JUN-2024,,,,,,,,"Arin Risk Advisors, LLC",1100 E. HECTOR ST.,SUITE 215,CONSHOHOCKEN,PA,19428-2388,13F NOTICE,028-23787,,,N,,2023-10-01
0001315478-24-000032,30-JUN-2024,,,,,,,,"Champlain Investment Partners, LLC","180 BATTERY STREET, SUITE 400",,BURLINGTON,VT,05401,13F HOLDINGS REPORT,028-11057,132474.0,801-63424,N,,2023-10-01
0001104659-24-089664,30-JUN-2024,N,,,,,,,Hilltop Securities Holdings LLC,717 N. HARWOOD STREET,Suite 3400,Dallas,TX,75201,13F NOTICE,028-18782,,,N,,2023-10-01
0001085146-24-003999,30-JUN-2024,N,,,,,,,AHL Partners LLP,RIVERBANK HOUSE,2 SWAN LANE,LONDON,X0,ECR 3AD,13F NOTICE,028-16037,167882.0,801-79565,N,,2023-10-01
0001104659-24-089663,30-JUN-2024,N,,,,,,,"Portolan Capital Management, LLC","2 International Place, 26th Floor",,Boston,MA,02110,13F HOLDINGS REPORT,028-11602,,,N,,2023-10-01
0001104659-24-089661,30-JUN-2024,N,,,,,,,"5AM Venture Management, LLC","4 Embarcadero Center, Suite 3110",,San Francisco,CA,94111,13F HOLDINGS REPORT,028-19757,160395.0,801-120173,N,,2023-10-01
0001085146-24-003998,30-JUN-2024,N,,,,,,,GLG LLC,1345 AVENUE OF THE AMERICAS,21ST FLOOR,NEW YORK,NY,10105,13F NOTICE,028-11672,138802.0,801-65571,N,,2023-10-01
0001012975-24-000332,30-JUN-2024,,,,,,,,Raine Capital LLC,C/O THE RAINE GROUP LLC,"65 EAST 55TH STREET, 24TH FLOOR",NEW YORK,NY,10022,13F HOLDINGS REPORT,028-17297,157939.0,801-73682,N,,2023-10-01
0001085146-24-003997,30-JUN-2024,N,,,,,,,GLG Partners LP,RIVERBANK HOUSE,2 SWAN LANE,LONDON,X0,EC4R 3AD,13F NOTICE,028-10979,163016.0,801-78835,N,,2023-10-01
0000919574-24-004752,30-JUN-2024,N,,,,,,,"TIG Arbitrage Enhanced Master Fund, L.P.",Ogier Global (Cayman) Ltd.,"89 Nexus Way, Camana Bay",Grand Cayman,E9,KY1-9009,13F NOTICE,028-16696,,,N,,2023-10-01
0001085146-24-003996,30-JUN-2024,N,,,,,,,Man Investments Australia Ltd,"CHIFLEY TOWER, LEVEL 28",2 CHIFLEY SQUARE,SYDNEY,C3,NSW 2000,13F NOTICE,028-23919,313907.0,801-121284,N,,2023-10-01
0001532155-24-000118,30-JUN-2024,,,,,,,,ALLIANCEBERNSTEIN L.P.,501 COMMERCE STREET,,NASHVILLE,TN,37203,13F HOLDINGS REPORT,028-10562,,,Y,"All media outlets, please contact Jennifer Casey at AllianceBernstein (212-969-1157) with any questions. All other questions can be directed to Section13USFilings@alliancebernstein.com.",2023-10-01
0001085146-24-003995,30-JUN-2024,N,,,,,,,"Founders Fund III Management, LLC",ONE LETTERMAN DRIVE,BUILDING D. 5TH FLOOR,SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-21249,,,N,,2023-10-01
0001493152-24-032232,30-JUN-2024,N,,,,,,,"ATLANTIC INVESTMENT MANAGEMENT, INC.",1301 Avenue Of The Americas,38th Floor,New York,NY,10019,13F HOLDINGS REPORT,028-06437,137698.0,801-65319,N,,2023-10-01
0001420506-24-001561,30-JUN-2024,N,,,,,,,OCCUDO QUANTITATIVE STRATEGIES LP,401 E LAS OLAS BOULEVARD,SUITE 1400,FORT LAUDERDALE,FL,33301,13F HOLDINGS REPORT,028-20884,,,N,,2023-10-01
0001085146-24-003994,30-JUN-2024,N,,,,,,,Numeric Investors LLC,200 PIER 4 BOULEVARD,5TH FLOOR,BOSTON,MA,02210,13F NOTICE,028-11946,131684.0,801-63276,N,,2023-10-01
0001104659-24-089659,30-JUN-2024,N,,,,,,,"Ares Enhanced Loan Investment Strategy Advisor IV, L.P.",C/O ARES MANAGEMENT LLC,"1800 Avenue of the Stars, Suite 1400",LOS ANGELES,CA,90067,13F NOTICE,028-13594,296707.0,,N,,2023-10-01
0002022297-24-000045,31-MAR-2022,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
0001607512-24-000006,30-JUN-2024,,,,,,,,"SEGRA CAPITAL MANAGEMENT, LLC",250 ROYAL PALM WAY,SUITE 304,PALM BEACH,FL,33480,13F HOLDINGS REPORT,028-21767,167306.0,801-126256,N,,2023-10-01
0001965207-24-000010,30-JUN-2024,,,,,,,,Quarry LP,331 PARK AVENUE SOUTH,3RD FLOOR,NEW YORK,NY,10010,13F HOLDINGS REPORT,028-22988,,,Y,"Note: Certain holdings included in this 13F report may be reported in the 13F holdings reports of other institutional investment managers that may be deemed to share investment discretion with The Quarry LP (""Quarry""), but on whose behalf Quarry is not filing this report.",2023-10-01
0001012975-24-000331,30-JUN-2024,,,,,,,,Southpoint Capital Advisors LLC,1114 AVENUE OF THE AMERICAS,22ND FLOOR,NEW YORK,NY,10036,13F NOTICE,028-13948,,,N,,2023-10-01
0001172661-24-003571,30-JUN-2024,N,,,,,,,"Keyframe Capital Partners, L.P.",65 East 55th Street,35th Floor,New York,NY,10022,13F HOLDINGS REPORT,028-22700,,,N,,2023-10-01
0001085146-24-003993,30-JUN-2024,N,,,,,,,CANYON CAPITAL ADVISORS LLC,"2728 NORTH HARWOOD STREET, 2ND FLOOR",,DALLAS,TX,75201,13F HOLDINGS REPORT,028-07392,107922.0,801-55592,N,,2023-10-01
0001103887-24-000004,30-JUN-2024,,,,,,,,NWI MANAGEMENT LP,623 FIFTH AVENUE,23 FLOOR,NEW YORK,NY,10022,13F HOLDINGS REPORT,028-05499,,,N,,2023-10-01
0001843543-24-000003,30-JUN-2024,N,,,,,,,"Medina Value Partners, LLC","11835 West Olympic Blvd, Suite 1285e",,Los Angeles,CA,90064,13F HOLDINGS REPORT,028-22134,155192.0,801-121005,N,,2023-10-01
0001595888-24-000046,30-JUN-2024,,,,,,,,"Jane Street Capital, LLC",250 VESEY STREET,6TH FLOOR,NEW YORK,NY,10281,13F NOTICE,028-13277,,,N,,2023-10-01
0001085146-24-003992,30-JUN-2024,N,,,,,,,"Gallagher Benefit Services, Inc.",2850 GOLF ROAD,,ROLLING MEADOWS,IL,60008,13F NOTICE,028-14532,,,N,,2023-10-01
0001353316-24-000006,30-JUN-2024,,,,,,,,"Hound Partners, LLC",101 PARK AVENUE,48TH FLOOR,NEW YORK,NY,10178,13F HOLDINGS REPORT,028-11815,155551.0,801-72100,N,,2023-10-01
0001104659-24-089657,30-JUN-2024,N,,,,,,,"Northpond Ventures, LLC","7500 Old Georgetown Road, Suite 800",,Bethesda,MD,20814,13F HOLDINGS REPORT,028-22233,297265.0,802-113525,N,,2023-10-01
0001085146-24-003991,30-JUN-2024,N,,,,,,,"Gallagher Fiduciary Advisors, LLC",2850 GOLF ROAD,,ROLLING MEADOWS,IL,60008,13F HOLDINGS REPORT,028-14533,,,N,,2023-10-01
0001085146-24-003990,30-JUN-2024,N,,,,,,,Arthur J. Gallagher & Co.,2850 GOLF ROAD,,ROLLING MEADOWS,IL,60008-4050,13F NOTICE,028-14530,,,N,,2023-10-01
0001420506-24-001560,30-JUN-2024,N,,,,,,,Parkman Healthcare Partners LLC,700 CANAL STREET,2ND FLOOR,STAMFORD,CT,06902,13F HOLDINGS REPORT,028-19992,300701.0,801-114849,N,,2023-10-01
0001104659-24-089655,30-JUN-2024,N,,,,,,,PlainsCapital Corp,6565 Hillcrest Avenue,,Dallas,TX,75205,13F NOTICE,028-15365,,,N,,2023-10-01
0001306923-24-000010,30-JUN-2024,,,,,,,,Palo Alto Investors LP,470 UNIVERSITY AVE,,PALO ALTO,CA,94301,13F HOLDINGS REPORT,028-11013,109171.0,801-58166,N,,2023-10-01
0002022297-24-000044,30-JUN-2022,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
0001013594-24-000662,30-JUN-2024,N,,,,,,,"ELLIOTT ASSOCIATES, L.P.","360 S. ROSEMARY AVE, 18TH FLOOR",,WEST PALM BEACH,FL,33401,13F NOTICE,028-04724,,,N,,2023-10-01
0001062993-24-015066,30-JUN-2024,N,,,,,,,CAMBRIDGE ASSOCIATES LLC /MA/ /ADV,115 FEDERAL STREET,,BOSTON,MA,02110,13F HOLDINGS REPORT,028-15888,,,N,,2023-10-01
0001085146-24-003989,30-JUN-2024,N,,,,,,,Schonfeld Strategic Advisors LLC,590 MADISON AVENUE,23RD FLOOR,NEW YORK,NY,10022,13F HOLDINGS REPORT,028-17469,281984.0,801-106963,N,,2023-10-01
0001104659-24-089654,30-JUN-2024,N,,,,,,,"ASSF Operating Manager IV, L.P.",1800 Avenue of the Stars,Suite 1400,Los Angeles,CA,90067,13F NOTICE,028-18943,296726.0,,N,,2023-10-01
0001104659-24-089653,30-JUN-2024,N,,,,,,,"Innovius Capital Management, LLC","4 Embarcadero Center, Suite 3720",,San Francisco,CA,94111,13F HOLDINGS REPORT,028-22345,311568.0,801-127252,N,,2023-10-01
0000921895-24-001821,30-JUN-2024,N,,,,,,,Solar Trust No. 2,First Republic Trust Company of Delaware,"1201 North Market Street, Suite 1002",Wilmington,DE,19801,13F NOTICE,028-21277,,,N,,2023-10-01
0001600094-24-000013,31-DEC-2021,,,,,,,,BMO Asset Management Inc.,100 KING STREET WEST,43RD FLOOR,TORONTO,A6,M5X 1A1,13F NOTICE,028-16018,,,N,,2023-10-01
0001085146-24-003988,30-JUN-2024,N,,,,,,,"Founders Fund IV Management, LLC",ONE LETTERMAN DRIVE,"BUILDING D, SUITE 500",SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-16589,,,N,,2023-10-01
0001017115-24-000003,30-JUN-2024,,,,,,,,ROBERTS GLORE & CO INC /IL/,707 LAKE COOK ROAD,SUITE 210,DEERFIELD,IL,60015,13F HOLDINGS REPORT,028-05698,,,N,,2023-10-01
0001493152-24-032226,30-JUN-2024,N,,,,,,,"TENOR CAPITAL MANAGEMENT Co., L.P.",810 SEVENTH AVENUE,SUITE 1905,NEW YORK,NY,10019,13F HOLDINGS REPORT,028-11620,153277.0,801-71508,N,,2023-10-01
0001013594-24-000661,30-JUN-2024,N,,,,,,,Bornite Capital Management LP,4 WORLD TRADE CENTER SUITE 2975,,New York,NY,10007,13F HOLDINGS REPORT,028-21356,307598.0,801-120958,N,,2023-10-01
0001172661-24-003570,30-JUN-2024,N,,,,,,,Avalon Advisory Group,150 N Meadows Drive,Suite 220,Wexford,PA,15090,13F HOLDINGS REPORT,028-19778,297090.0,801-113420,N,,2023-10-01
0001085146-24-003987,30-JUN-2024,N,,,,,,,"AQR Capital Management Holdings, LLC",ONE GREENWICH PLAZA,SUITE 130,Greenwich,CT,06830,13F NOTICE,028-16752,,,N,,2023-10-01
0001085146-24-003986,30-JUN-2024,N,,,,,,,AQR Arbitrage LLC,ONE GREENWICH PLAZA,SUITE 130,Greenwich,CT,06830,13F HOLDINGS REPORT,028-10114,114626.0,801-60678,N,,2023-10-01
0001012975-24-000330,30-JUN-2024,,,,,,,,Southpoint Capital Advisors LP,1114 AVENUE OF THE AMERICAS,22ND FLOOR,NEW YORK,NY,10036,13F HOLDINGS REPORT,028-11745,161754.0,801-74264,N,,2023-10-01
0000919574-24-004751,30-JUN-2024,N,,,,,,,"TIG Advisors, LLC",520 Madison Ave,26th Floor,New York,NY,10022,13F HOLDINGS REPORT,028-11896,138306.0,801-65608,Y,"Under Section 13(f) of the Securities Exchange Act of 1934, as amended, and the rules promulgated thereunder, AlTi Global, Inc. may be deemed to have shared investment discretion with TIG Advisors, LLC (''TIG Advisors'') and certain investment funds managed by TIG Advisors (the ''TIG Funds'').  However, TIG Advisors and the TIG Funds file separate Form 13Fs from AlTi Global, Inc.",2023-10-01
0001781566-24-000006,30-JUN-2024,N,,,,,,,"Nipun Capital, L.P.","950 Tower Lane, Suite 1625",,Foster City,CA,94404,13F HOLDINGS REPORT,028-23588,159752.0,801-78276,N,,2023-10-01
0002022297-24-000043,30-SEP-2022,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
0001104659-24-089652,30-JUN-2024,N,,,,,,,"Samsara BioCapital, LLC",628 Middlefield Road,,Palo Alto,CA,94301,13F HOLDINGS REPORT,028-19375,288114.0,801-113741,N,,2023-10-01
0001085146-24-003984,30-JUN-2024,N,,,,,,,"Founders Fund V Management, LLC",ONE LETTERMAN DRIVE,"BUILDING D, 5TH FLOOR",SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-17902,,,N,,2023-10-01
0001104659-24-089651,30-JUN-2024,N,,,,,,,ACOF Investment Management LLC,1800 Avenue of the Stars,Suite 1400,Los Angeles,CA,90067,13F NOTICE,028-18057,296665.0,,N,,2023-10-01
0002011176-24-000003,30-JUN-2024,,,,,,,,Pingora Partners LLC,PO BOX 1250,,WILSON,WY,83014,13F HOLDINGS REPORT,028-23710,148262.0,801-113035,N,,2023-10-01
0000950142-24-002206,30-JUN-2024,N,,,,,,,Birch Grove Capital LP,"590 Madison Avenue, 38th Floor",,New York,NY,10022,13F HOLDINGS REPORT,028-17364,168245.0,801-78265,N,,2023-10-01
0002004220-24-000004,30-JUN-2024,,,,,,,,Zhou Ran,"C/O ELECTRON CAPITAL PARTNERS, LLC","10 EAST 53RD STREET, 19TH FLOOR",NEW YORK,NY,10022,13F NOTICE,028-23999,,,N,,2023-10-01
0000905148-24-002227,30-JUN-2024,N,,,,,,,Northwoods Investments LLC,"850 NEW BURTON ROAD, SUITE 201",,DOVER,DE,19904,13F HOLDINGS REPORT,028-20990,,,N,,2023-10-01
0001085146-24-003983,30-JUN-2024,N,,,,,,,"FTV Management Company, L.P.","601 CALIFORNIA STREET, 19TH FLOOR",,SAN FRANCISCO,CA,94108,13F HOLDINGS REPORT,028-24172,,,N,,2023-10-01
0001104659-24-089650,30-JUN-2024,N,,,,,,,BILL & MELINDA GATES FOUNDATION TRUST,2365 Carillon Point,,Kirkland,WA,98033,13F HOLDINGS REPORT,028-10098,,028-10098,N,,2023-10-01
0000921895-24-001820,30-JUN-2024,N,,,,,,,Solar Projects LLC,First Republic Trust Company of Delaware,"1201 North Market Street, Suite 1002",Wilmington,DE,19801,13F NOTICE,028-21276,,,N,,2023-10-01
0001172661-24-003568,30-JUN-2024,N,,,,,,,SEMPER AUGUSTUS INVESTMENTS GROUP LLC,200 Plaza Drive,Suite 240,Highlands Ranch,CO,80129,13F HOLDINGS REPORT,028-12692,108153.0,801-55966,N,,2023-10-01
0001591986-24-000006,30-JUN-2024,,,,,,,,"Aquilo Capital Management, LLC",ONE LETTERMAN DRIVE,"SUITE D4900, BUILDING D",SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-18892,153022.0,801-111633,N,,2023-10-01
0001912699-24-000008,30-JUN-2024,N,,,,,,,Graham Holdings Co Master Retirement Trust,C/O GRAHAM HOLDINGS COMPANY,1300 NORTH 17TH STREET,Arlington,VA,22209,13F HOLDINGS REPORT,028-22321,,,N,,2023-10-01
0001085146-24-003982,30-JUN-2024,N,,,,,,,"Founders Fund VI Management, LLC",ONE LETTERMAN DRIVE,BUILDING D. 5TH FLOOR,SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-22072,,,N,,2023-10-01
0001085146-24-003981,30-JUN-2024,N,,,,,,,"Nut Tree Capital Management, LP",55 HUDSON YARDS,22ND FLOOR,NEW YORK,NY,10001,13F HOLDINGS REPORT,028-19378,,,N,,2023-10-01
0002022297-24-000042,31-DEC-2022,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
0001104659-24-089649,30-JUN-2024,N,,,,,,,"Pelion, Inc.","14761 S. Future Way, Suite 500",,Salt Lake City,UT,84020,13F HOLDINGS REPORT,028-22113,162762.0,802-75699,N,,2023-10-01
0001013594-24-000660,30-JUN-2024,N,,,,,,,Elliott Investment Management L.P.,"360 S. ROSEMARY AVE, 18TH FLOOR",,WEST PALM BEACH,FL,33401,13F HOLDINGS REPORT,028-20282,307151.0,801-119969,N,,2023-10-01
0000905148-24-002226,30-JUN-2024,N,,,,,,,VIKING GLOBAL INVESTORS LP,600 WASHINGTON BLVD.,FLOOR 11,STAMFORD,CT,06901,13F HOLDINGS REPORT,028-05515,132272.0,801-72433,N,,2023-10-01
0001085146-24-003980,30-JUN-2024,N,,,,,,,Vazirani Asset Management LLC,90 PARK AVENUE,5TH FLOOR,NEW YORK,NY,10016,13F HOLDINGS REPORT,028-21589,,,N,,2023-10-01
0001104659-24-089648,30-JUN-2024,N,,,,,,,Hilltop Holdings Inc.,6565 Hillcrest Ave.,,Dallas,TX,75205,13F HOLDINGS REPORT,028-15359,,,N,,2023-10-01
0000921895-24-001819,30-JUN-2024,N,,,,,,,Starboard Value LP,"777 Third Avenue, 18th Floor",,New York,NY,10017,13F HOLDINGS REPORT,028-14564,156943.0,801-72256,N,,2023-10-01
0001104659-24-089647,30-JUN-2024,N,,,,,,,"Venrock Management VI, LLC",3340 Hillview Avenue,,Palo Alto,CA,94304,13F HOLDINGS REPORT,028-20323,,,Y,"Note: Venrock Management VI, LLC is filing this Form 13F on behalf of itself and the investment fund entity for which it serves as the general partner, Venrock Associates VI, L.P.",2023-10-01
0001085146-24-003979,30-JUN-2024,N,,,,,,,"Founders Fund Growth Management, LLC",ONE LETTERMAN DRIVE,"BUILDING D, 5TH FLOOR",SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-22074,,,N,,2023-10-01
0001104659-24-089646,30-JUN-2024,N,,,,,,,ARES MANAGEMENT LLC,1800 Avenue of the Stars,Suite 1400,Los Angeles,CA,90067,13F HOLDINGS REPORT,028-12990,130074.0,801-63800,Y,"In accordance with Special Instruction 9 to Form 13F, fair market value represents the value at the close of trading on the last trading day of the calendar year or quarter, as applicable. *The Reporting Manager does not have formal investment discretion with respect to the securities in the indicated rows, but may be deemed to be part of a group exercising such investment discretion. Such group, if any, would include each manager identified in the column captioned ""Other Managers"" relating to a given issuer. The filing of this report shall not be deemed an admission, for purposes of Section 13(f), 13(d), 13(g), or 16(a) under the Securities Exchange Act of 1934, as amended, and the rules thereunder, or for any other purpose, that the Reporting Manager or any Other Included Manager exercises investment discretion or is a member of such a group with respect to such securities. Reference is made to reports filed under Sections 13(d), 13(g), and 16(a) for additional information with respect to such beneficial ownership and/or pecuniary interest of the Reporting Manager, any Other Included Manager and related entities. The filing of this report shall not be deemed an admission, for purposes of Section 13(f), 13(d), 13(g), or 16(a) under the Securities Exchange Act of 1934, as amended, and the rules thereunder, or for any other purpose, that the Reporting Manager or any other person (including Other Included Managers named herein) is the beneficial owner of any securities.",2023-10-01
0001104659-24-089645,30-JUN-2024,N,,,,,,,"Madrone Advisors, LLC","1149 Chestnut Street, Suite 200",,Menlo Park,CA,94025,13F HOLDINGS REPORT,028-22932,,,N,,2023-10-01
0000921895-24-001818,30-JUN-2024,N,,,,,,,Gimbel Daniel Scott,323 Pablo Rd,,Ponte Vedra Beach,FL,32082,13F HOLDINGS REPORT,028-21274,,,N,,2023-10-01
0001965005-24-000005,30-JUN-2024,,,,,,,,Estuary Capital Management LP,308 WALKER AVENUE SOUTH,,WAYZATA,MN,55391,13F HOLDINGS REPORT,028-23923,323379.0,801-127043,N,,2023-10-01
0000905148-24-002225,30-JUN-2024,N,,,,,,,"KMJZ Investments, L.L.C.",TWO NORTH RIVERSIDE PLAZA,SUITE 600,CHICAGO,IL,60606,13F NOTICE,028-18176,,,N,,2023-10-01
0002022297-24-000041,31-MAR-2023,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
0001104659-24-089642,30-JUN-2024,N,,,,,,,"Redmile Group, LLC",One Letterman Drive,"Building D, Suite D3-300",San Francisco,CA,94129,13F HOLDINGS REPORT,028-12776,143606.0,801-67747,Y,"The attached information table excludes (a) 7,588 shares of common stock of IGM BIOSCIENCES INC issued pursuant to restricted stock unit awards, (b) 11,331 shares of common stock of FATE THERAPEUTICS INC issued pursuant to restricted stock unit awards and (c) 19,863 shares of common stock of AUGMEDIX, INC. issued pursuant to restricted stock unit awards.",2023-10-01
0001172661-24-003566,30-JUN-2024,N,,,,,,,KEYWISE CAPITAL MANAGEMENT (HK) Ltd,"ROOM 3008-10, 30/F, COSCO TOWER",183 QUEEN'S ROAD CENTRAL,HONG KONG,K3,000,13F HOLDINGS REPORT,028-14858,160593.0,801-76775,N,,2023-10-01
0001012975-24-000329,30-JUN-2024,,,,,,,,PERCEPTIVE ADVISORS LLC,"51 ASTOR PLACE, 10TH FLOOR",,NEW YORK,NY,10003,13F HOLDINGS REPORT,028-10438,154703.0,801-71841,N,,2023-10-01
0001085146-24-003978,30-JUN-2024,N,,,,,,,"Founders Fund VII Management, LLC",ONE LETTERMAN DRIVE,"BUILDING D, SUITE 500",SAN FRANCISCO,CA,94129,13F HOLDINGS REPORT,028-20890,,,N,,2023-10-01
0001756272-24-000012,30-JUN-2024,N,,,,,,,Cavello Bay Reinsurance LTD,"PO BOX 2267, A.S. COOPER BUILDING",26 REID STREET,HAMILTON,D0,HM 11,13F NOTICE,028-19993,,,N,,2023-10-01
0000902664-24-005136,30-JUN-2024,N,,,,,,,GREENOAKS CAPITAL PARTNERS LLC,4 Orinda Way Building C,Suite 200,Orinda,CA,94563,13F HOLDINGS REPORT,028-20848,165941.0,801-88209,N,,2023-10-01
0002004220-24-000003,30-JUN-2024,,,,,,,,"Electron Infrastructure GP, LLC","10 EAST 53RD STREET, 19TH FLOOR",,NEW YORK,NY,10022,13F NOTICE,028-19366,,,N,,2023-10-01
0001693838-24-000005,30-JUN-2024,N,,,,,,,"Ursa Fund Management, LLC","156 Diablo Rd, Ste 250",,Danville,CA,94526,13F HOLDINGS REPORT,028-18000,283363.0,801-110698,N,,2023-10-01
0001420506-24-001558,30-JUN-2024,N,,,,,,,"Manhattan West Asset Management, LLC",1999 Avenue of the Stars,Suite 2500,Los Angeles,CA,90067,13F HOLDINGS REPORT,028-21912,,,N,,2023-10-01
0000895345-24-000355,30-JUN-2024,N,,,,,,,"Boxer Capital, LLC",12860 El Camino Real,Suite 300,San Diego,CA,92130,13F HOLDINGS REPORT,028-17339,,,N,,2023-10-01
0000104889-24-000043,30-JUN-2024,N,,,,,,,Graham Holdings Co,1300 NORTH 17TH STREET,SUITE 1700,ARLINGTON,VA,22209,13F HOLDINGS REPORT,028-22110,,,N,,2023-10-01
0001104659-24-089638,30-JUN-2024,N,,,,,,,"DAG Ventures, LLC","251 Lytton Avenue, Suite 200",,Palo Alto,CA,94301,13F HOLDINGS REPORT,028-23939,162705.0,802-75503,N,,2023-10-01
0000905148-24-002224,30-JUN-2024,N,,,,,,,Orion Resource Partners LP,1045 AVENUE OF THE AMERICAS,,NEW YORK,NY,10018,13F HOLDINGS REPORT,028-24326,,,N,,2023-10-01
0001273087-24-000087,30-JUN-2024,,,,,,,,MILLENNIUM GLOBAL ESTATE GP LLC,399 PARK AVENUE,,NEW YORK,NY,10022,13F NOTICE,028-12858,,,N,,2023-10-01
0001172661-24-003565,30-JUN-2024,N,,,,,,,"North Rock Capital Management, LLC",3801 PGA Blvd.,Suite 604,Palm Beach Gardens,FL,33410,13F NOTICE,028-22182,291563.0,,N,,2023-10-01
0001085146-24-003977,30-JUN-2024,N,,,,,,,"G.F.W. Energy XI, L.P.",2850 NORTH HARWOOD STREET,19TH FLOOR,DALLAS,TX,75201,13F HOLDINGS REPORT,028-17934,,,N,,2023-10-01
0002022297-24-000040,30-JUN-2023,,,,,,,,Desjardins Securities inc.,1170 PEEL STREET,SUITE 300,MONTREAL,A8,H3B 0A9,13F NOTICE,028-24164,,,N,,2023-10-01
